time,viewers,date,channels,name,id,rownum,星期
20:00:00,74068,2018-05-16,1230,Counter-Strike: Global Offensive,3,4,4
20:00:00,68664,2018-05-16,946,IRL,29791,5,4
20:00:00,48445,2018-05-16,789,Dota 2,6,6,4
20:00:00,45340,2018-05-16,380,Hearthstone,5,7,4
20:00:00,38267,2018-05-16,707,Grand Theft Auto V,24,8,4
20:00:00,36695,2018-05-16,1897,World of Warcraft,79,9,4
20:00:00,32831,2018-05-16,6,Tricky Towers,25902,10,4
20:00:00,233899,2018-05-17,12984,Fortnite,8375,1,5
20:00:00,136324,2018-05-17,2525,League of Legends,2,2,5
20:00:00,119820,2018-05-17,2636,PLAYERUNKNOWN'S BATTLEGROUNDS,26989,3,5
20:00:00,72676,2018-05-17,1221,Counter-Strike: Global Offensive,3,4,5
20:00:00,58803,2018-05-17,963,IRL,29791,5,5
20:00:00,39129,2018-05-17,129,Wizard of Legend,32386,6,5
20:00:00,38740,2018-05-17,359,Hearthstone,5,7,5
20:00:00,35487,2018-05-17,661,Grand Theft Auto V,24,8,5
20:00:00,33929,2018-05-17,802,Dota 2,6,9,5
20:00:00,33309,2018-05-17,1493,World of Warcraft,79,10,5
20:00:00,409750,2018-05-18,13997,Fortnite,8375,1,6
20:00:00,104873,2018-05-18,1031,IRL,29791,2,6
20:00:00,75651,2018-05-18,2574,League of Legends,2,3,6
20:00:00,52423,2018-05-18,870,Dota 2,6,4,6
20:00:00,47161,2018-05-18,1395,Counter-Strike: Global Offensive,3,5,6
